Question,Answer
Can hormone therapy help acne?,"[{'text': 'Though acne is essentially a normal physiologic occurrence, certain conditions may aggravate the condition, including: Fluctuating hormone levels around the time of menses (women) Manipulating (picking/prodding) acne lesions Clothing (for example, hats and sports helmets) and headgear Only three types of drugs have proven to be effective for the treatment of acne -- antibiotics, benzoyl peroxide, and retinoids. The hormone therapy consists of low-dose estrogen and progesterone (birth control pills) or anti-androgen medications (spironolactone).', 'answer_span': [7, 24], 'answer_start': None, 'answer_starts': [[788, 414], [3104, 135]]}]"
What can you do to control both psoriasis and diabetes?,"[{'text': 'Some lifestyle changes can help you control both your psoriasis and diabetes.', 'answer_span': [20], 'answer_start': 1918, 'answer_starts': [[1918, 77]]}]"
How can asking questions help with psoriasis and diabetes?,"[{'text': ""Learn about the drugs you take, their side effects, and how long you'll need to be on them. If you don't understand something or have concerns about anything, ask your doctor."", 'answer_span': [37, 38], 'answer_start': 3017, 'answer_starts': [[3017, 91], [3109, 83]]}]"
How can treatments for psoriasis affect diabetes?,"[{'text': ""In some cases, she may be able to give you medicine that helps keep both health issues in check. For instance, some people who take a type 2 diabetes drug called a glucagon-like peptide-1 ( GLP-1) notice that their skin gets better. This may be because it slows down your immune system. That helps ease inflammation throughout your body. On the other hand, some drugs that treat psoriasis can raise your blood sugar and make your diabetes harder to control. That means your doctor probably won't give you corticosteroids (steroids) or cyclosporine, which are both used to calm inflammation."", 'answer_span': [9, 10, 11, 12, 13, 14], 'answer_start': 824, 'answer_starts': [[824, 96], [921, 135], [1057, 53], [1111, 50], [1162, 119], [1282, 132]]}]"
How can eating healthily help with psoriasis and diabetes?,"[{'text': 'Certain foods like fruits, veggies, and whole grains can help control your diabetes and psoriasis. Others (like sugary treats and alcohol) will make them worse. Ask a dietitian or nutritionist to help you plan healthy meals.', 'answer_span': [25, 26, 27], 'answer_start': 2211, 'answer_starts': [[2211, 98], [2310, 61], [2372, 63]]}]"
How can working as a team help with psoriasis and diabetes?,"[{'text': ""Find health care providers you trust and make sure they talk to one another to give you the care you need. If you don't understand something or have concerns about anything, ask your doctor."", 'answer_span': [35, 38], 'answer_start': None, 'answer_starts': [[2895, 106], [3109, 83]]}]"
How should I dress a child with eczema?,"[{'text': 'Wash clothes before wearing. Avoid heavy, tight, or scratchy material such as wool, nylon, or synthetic fibers.', 'answer_span': [16, 17], 'answer_start': 1055, 'answer_starts': [[1055, 28], [1084, 82]]}]"
What are tips to help prevent skin irritation in a child with eczema?,"[{'text': ""Keep your child's fingernails short and clean. Avoid any substance you know will trigger an allergy. Avoid irritants such as perfumed soaps and detergents. Use cold compresses to relieve the itch. Don't let your baby get too hot or sweaty. Either one can make eczema worse. Never give a baby an antihistamine without talking to a pediatrician first. Ask your pediatrician about medications to relieve itching and whether food or environmental allergens could be triggering the eczema."", 'answer_span': [19, 20, 21, 22, 23, 24, 25, 26], 'answer_start': 1207, 'answer_starts': [[1207, 46], [1254, 53], [1308, 54], [1363, 40], [1404, 42], [1447, 33], [1481, 75], [1557, 134]]}]"
When should I call a doctor about my baby's eczema?,"[{'text': ""Your baby develops a new rash. The rash looks infected, appears redder, or has a yellow crust or ooze. Home eczema treatments aren't helping. Your baby has a fever associated with the rash."", 'answer_span': [2, 3, 4, 5], 'answer_start': 266, 'answer_starts': [[266, 30], [297, 71], [369, 38], [408, 47]]}]"
How do I moisturize a baby with eczema?,"[{'text': ""It's not a dangerous condition, but it can be itchy and uncomfortable for baby and frustrating for parents. Limit your use of soap and discuss with your doctor the type of soap you should use. Hypoallergenic fragrance-free moisturizers are best."", 'answer_span': [1, 8, 14], 'answer_start': None, 'answer_starts': [[158, 107], [509, 84], [944, 52]]}]"
How do I bathe a child with eczema?,"[{'text': ""Hot water can make eczema worse. Limit your use of soap and discuss with your doctor the type of soap you should use. Rinse your child's skin twice to remove soap residue. Keep baths short since prolonged contact with water can be irritating. Either one can make eczema worse."", 'answer_span': [7, 8, 9, 10, 24], 'answer_start': None, 'answer_starts': [[476, 32], [509, 84], [594, 53], [648, 70], [1447, 33]]}]"
How many people get psoriatic arthritis?,"[{'text': 'Up to a third of people with psoriasis also get psoriatic arthritis ( Ps A). Most people are diagnosed between 30 and 50, but you can get it at any age. It causes inflammation, mainly in your joints. And it can affect other body parts, too.', 'answer_span': [0, 1, 2, 3], 'answer_start': 0, 'answer_starts': [[0, 76], [77, 75], [153, 46], [200, 40]]}]"
What are the symptoms of psoriatic arthritis in the joints?,"[{'text': ""Often you'll notice swelling in your knees, ankles, feet, and hands. Usually, a few joints are inflamed at a time. They get painful and puffy, and sometimes hot and red. When your fingers or toes are affected, they might take on a sausage shape. Stiff joints are common. They're typically worse early in the morning. If you have both psoriasis and psoriatic arthritis, your odds are even higher. Inflammation in the colored part of your eye, the iris, can cause pain that gets worse in bright light. Arthritis mutilans, a rare but destructive condition that sometimes happens with psoriatic arthritis, rapidly damages joints at the ends of your fingers and toes. Women with psoriasis and anyone with severe psoriatic arthritis may be almost twice as likely to get it as others. If you have psoriasis and your joints hurt, let your doctor know."", 'answer_span': [5, 6, 7, 8, 10, 11, 34, 44, 51, 55, 56], 'answer_start': None, 'answer_starts': [[357, 68], [426, 45], [472, 54], [527, 75], [731, 24], [756, 45], [2609, 78], [3248, 103], [3701, 162], [4155, 114], [4270, 65]]}]"
What are the risks of taking off-label drugs for treating multiple sclerosis (MS)?,"[{'text': ""Over the years, doctors have prescribed everything from cancer drugs to acne medicine to help with MS. Your doctor might suggest going off-label if approved drugs aren't safe for you. A cancer drug doesn't get tested in someone with MS to see if it acts any differently or to check which dose works best. So there's some extra risk there. That said, many off-label meds for MS often have at least some research behind them. When studies show off-label drugs work for MS, they tend to have fewer risks. What are the side effects and risks for someone with MS?"", 'answer_span': [4, 6, 13, 14, 15, 16, 19], 'answer_start': None, 'answer_starts': [[390, 102], [523, 80], [1081, 120], [1202, 33], [1236, 84], [1321, 77], [1524, 56]]}]"
How is the drug azathioprine (Imuran) used off-label to help treat MS?,"[{'text': 'Over the years, doctors have prescribed everything from cancer drugs to acne medicine to help with MS. It can cut the number of relapses you get and keep your MS from getting worse. If you use it for more than 10 years or take more than 600 grams over your lifetime, it may raise your risk of cancer.', 'answer_span': [4, 33, 34], 'answer_start': None, 'answer_starts': [[390, 102], [2428, 78], [2507, 118]]}]"
How are psoriasis and psoriatic arthritis different?,"[{'text': ""For example, you could have: Skin lesions on your elbow, but no pain, no swelling, and no problems bending and moving it Swollen toes, but no redness or scales on your feet Psoriasis doesn't cause scarring or any other lasting harm to skin. But psoriatic arthritis can damage joints and leave them stiff and deformed if it isn't treated."", 'answer_span': [19, 20], 'answer_start': 1365, 'answer_starts': [[1365, 240], [1606, 96]]}]"
What is the link between psoriasis and psoriatic arthritis?,"[{'text': ""Your immune system is responsible for both. Inflammation is part of both psoriasis and psoriatic arthritis. Both of these conditions occur because your immune system attacks your own body instead of something foreign to you. A little less than a third of people who have psoriasis will get psoriatic arthritis. Psoriasis skin plaques can flare up and then get better. But psoriatic arthritis can damage joints and leave them stiff and deformed if it isn't treated."", 'answer_span': [3, 4, 5, 6, 12, 20], 'answer_start': None, 'answer_starts': [[265, 43], [309, 63], [373, 116], [490, 85], [886, 56], [1606, 96]]}]"
How can you get psoriatic arthritis from psoriasis?,"[{'text': ""A little less than a third of people who have psoriasis will get psoriatic arthritis. Doctors can't yet tell who before it happens, though. Usually, you'll have the skin symptoms first. But sometimes, arthritis symptoms appear months, or even years, before skin problems do. That makes it hard to diagnose. People with severe psoriasis could have a greater chance of getting psoriatic arthritis. About 40% of people who get psoriatic arthritis have relatives with it or with psoriasis. Scientists don't know which genes are responsible for these conditions. Figuring that out will help doctors predict who is likely to get these conditions. It may lead to new treatments, too."", 'answer_span': [6, 7, 8, 9, 10, 11, 14, 15, 16, 17], 'answer_start': None, 'answer_starts': [[490, 85], [576, 53], [630, 45], [676, 88], [765, 31], [797, 88], [994, 89], [1084, 71], [1156, 82], [1239, 35]]}]"
